reference;data
Potatoes, irrigated;c3ann_irrigated
Potatoes, rainfed;c3ann_rainfed
Pulses nes, irrigated;rest
Pulses nes, rainfed;rest
Pumpkins, squash and gourds, irrigated;c3ann_irrigated
Pumpkins, squash and gourds, rainfed;c3ann_rainfed
Quinces, irrigated;rest
Quinces, rainfed;rest
Quinoa, irrigated;c3ann_irrigated
Quinoa, rainfed;c3ann_rainfed
Rapeseed, irrigated;c3ann_irrigated
Rapeseed, rainfed;c3ann_rainfed
Raspberries, irrigated;rest
Raspberries, rainfed;rest
Rice, paddy, irrigated;c3ann_irrigated
Rice, paddy, rainfed;c3ann_rainfed
Roots and tubers nes, irrigated;c3ann_irrigated
Roots and tubers nes, rainfed;c3ann_rainfed
Rye, irrigated;c3ann_irrigated
Rye, rainfed;c3ann_rainfed
ryefor, irrigated;c3ann_irrigated
ryefor, rainfed;c3ann_rainfed
Safflower seed, irrigated;c3ann_irrigated
Safflower seed, rainfed;c3ann_rainfed
Seed cotton, irrigated;c3ann_irrigated
Seed cotton, rainfed;c3ann_rainfed
Sesame seed, irrigated;c3ann_irrigated
Sesame seed, rainfed;c3ann_rainfed
Sorghum, irrigated;rest
Sorghum, rainfed;rest
sorghumfor, irrigated;rest
sorghumfor, rainfed;rest
Soybeans, irrigated;rest
Soybeans, rainfed;rest
Spices nes, irrigated;c3ann_irrigated
Spices nes, rainfed;c3ann_rainfed
Spinach, irrigated;c3ann_irrigated
Spinach, rainfed;c3ann_rainfed
Strawberries, irrigated;rest
Strawberries, rainfed;rest
String beans, irrigated;rest
String beans, rainfed;rest
Sugar beet, irrigated;c3ann_irrigated
Sugar beet, rainfed;c3ann_rainfed
Sugar cane, irrigated;c4per
Sugar cane, rainfed;c4per
Sunflower seed, irrigated;c3ann_irrigated
Sunflower seed, rainfed;c3ann_rainfed
swedefor, irrigated;c3ann_irrigated
swedefor, rainfed;c3ann_rainfed
Sweet potatoes, irrigated;c3ann_irrigated
Sweet potatoes, rainfed;c3ann_rainfed
Tallowtree seed, irrigated;rest
Tallowtree seed, rainfed;rest
Tangerines, mandarins, clementines, satsumas, irrigated;rest
Tangerines, mandarins, clementines, satsumas, rainfed;rest
Taro (cocoyam), irrigated;c3ann_irrigated
Taro (cocoyam), rainfed;c3ann_rainfed
Tea, irrigated;rest
Tea, rainfed;rest
Tomatoes, irrigated;c3ann_irrigated
Tomatoes, rainfed;c3ann_rainfed
Triticale, irrigated;c3ann_irrigated
Triticale, rainfed;c3ann_rainfed
Tung nuts, irrigated;rest
Tung nuts, rainfed;rest
turnipfor, irrigated;c3ann_irrigated
turnipfor, rainfed;c3ann_rainfed
Vanilla, irrigated;rest
Vanilla, rainfed;rest
Vegetables, fresh nes, irrigated;c3ann_irrigated
Vegetables, fresh nes, rainfed;c3ann_rainfed
Vegetables, leguminous nes, irrigated;rest
Vegetables, leguminous nes, rainfed;rest
vegfor, irrigated;c3ann_irrigated
vegfor, rainfed;c3ann_rainfed
Vetches, irrigated;rest
Vetches, rainfed;rest
Walnuts, with shell, irrigated;rest
Walnuts, with shell, rainfed;rest
Watermelons, irrigated;c3ann_irrigated
Watermelons, rainfed;c3ann_rainfed
Wheat, irrigated;c3ann_irrigated
Wheat, rainfed;c3ann_rainfed
Yams, irrigated;c3ann_irrigated
Yams, rainfed;c3ann_rainfed
Yautia (cocoyam), irrigated;c3ann_irrigated
Yautia (cocoyam), rainfed;c3ann_rainfed
