reference;data
Sugar cane, irrigated;other_crop
Sugar cane, rainfed;other_crop
Sunflower seed, irrigated;other_crop
Sunflower seed, rainfed;other_crop
swedefor, irrigated;other_crop
swedefor, rainfed;other_crop
Sweet potatoes, irrigated;other_crop
Sweet potatoes, rainfed;other_crop
Tallowtree seed, irrigated;other_crop
Tallowtree seed, rainfed;other_crop
Tangerines, mandarins, clementines, satsumas, irrigated;other_crop
Tangerines, mandarins, clementines, satsumas, rainfed;other_crop
Taro (cocoyam), irrigated;other_crop
Taro (cocoyam), rainfed;other_crop
Tea, irrigated;other_crop
Tea, rainfed;other_crop
Tomatoes, irrigated;other_crop
Tomatoes, rainfed;other_crop
Triticale, irrigated;tece
Triticale, rainfed;tece
Tung nuts, irrigated;other_crop
Tung nuts, rainfed;other_crop
turnipfor, irrigated;other_crop
turnipfor, rainfed;other_crop
Vanilla, irrigated;other_crop
Vanilla, rainfed;other_crop
Vegetables, fresh nes, irrigated;other_crop
Vegetables, fresh nes, rainfed;other_crop
Vegetables, leguminous nes, irrigated;other_crop
Vegetables, leguminous nes, rainfed;other_crop
vegfor, irrigated;other_crop
vegfor, rainfed;other_crop
Vetches, irrigated;other_crop
Vetches, rainfed;other_crop
Walnuts, with shell, irrigated;other_crop
Walnuts, with shell, rainfed;other_crop
Watermelons, irrigated;other_crop
Watermelons, rainfed;other_crop
Wheat, irrigated;tece
Wheat, rainfed;tece
Yams, irrigated;other_crop
Yams, rainfed;other_crop
Yautia (cocoyam), irrigated;other_crop
Yautia (cocoyam), rainfed;other_crop
